#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE> Magnetometer Parameters
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       H0>16-Sec Level 2 Data
#     DESCRIPTOR                      MAG>ACE Magnetic Field Instrument
#     DATA_VERSION                    7
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 2026029
#     LINK_TEXT                       Release notes and other info available at
#     LINK_TITLE                      the ACE Science Center Level 2 Data website
#     HTTP_LINK                       https://izw1.caltech.edu/ACE/ASC/level2/index.html
#     TEXT                            MAG - ACE Magnetic Field Experiment
#                                     References: http://www.srl.caltech.edu/ACE/
#                                     The quality of ACE level 2 data is such that it is suitable for serious
#                                     scientific study.  However, to avoid confusion and misunderstanding, it
#                                     is recommended that users consult with the appropriate ACE team members
#                                     before publishing work derived from the data. The ACE team has worked
#                                     hard to ensure that the level 2 data are free from errors, but the team
#                                     cannot accept responsibility for erroneous data, or for misunderstandings
#                                     about how the data may be used. This is especially true if the appropriate
#                                     ACE team members are not consulted before publication. At the very
#                                     least, preprints should be forwarded to the ACE team before publication.
#     MODS                            Initial Release 9/7/01
#                                     12/04/02: Fixed description of Epoch time variable.
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 ac_h0_mfi_00000000_v01
#     LOGICAL_SOURCE                  AC_H0_MFI
#     LOGICAL_SOURCE_DESCRIPTION      H0 - ACE Magnetic Field 16-Second Level 2 Data
#     PI_NAME                         N. Ness
#     PI_AFFILIATION                  Bartol Research Institute
#     MISSION_GROUP                   ACE
#                                     !___Interplanetary Data near 1 AU
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     TIME_RESOLUTION                 16 second
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, N. Ness of Bartol Research
#                                     Institute
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/ASC/level2/policy_lvl2.html
#     ALT_LOGICAL_SOURCE              ACE_MAG_Solar-Wind-Magnetic-Field-Level2-H0_16sec_cdf
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ACE/MAG/L2/PT16S
#     DOI                             https://doi.org/10.48322/e0dc-0h53
#     CDAWEB_PARENTS                  ac_h0_mfi_00000000_v01
#                                     ac_h0_mfi_20260118_v07, ac_h0_mfi_20260119_v07
#                                     ac_h0_mfi_20260120_v07, ac_h0_mfi_20260121_v07
#                                     ac_h0_mfi_20260122_v07
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, beginning of interval
#  2. B-field magnitude
#  3. Magnetic Field Vector in GSE Cartesian coordinates (16 sec)
#  4. Magnetic field vector in GSM coordinates (16 sec)
#
EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,<|B|>__nT,BX_GSE_(@_x_component_)_nT,BY_GSE_(@_y_component_)_nT,BZ_GSE_(@_z_component_)_nT,BX_(GSM)_(@_x_component_)_nT,BY_(GSM)_(@_y_component_)_nT,BZ_(GSM)_(@_z_component_)_nT
2026-01-18T00:00:04.000Z,8.01700,-3.24500,6.90300,2.44100,-3.24500,5.55100,4.77400
2026-01-18T00:00:20.000Z,7.97500,-2.87400,7.17000,0.965000,-2.87400,6.33400,3.49500
2026-01-18T00:00:36.000Z,7.96200,-2.32900,7.56500,0.651000,-2.32900,6.81600,3.34500
2026-01-18T00:00:52.000Z,7.99100,-2.25500,7.60400,0.628000,-2.25500,6.86100,3.33700
2026-01-18T00:01:08.000Z,8.02500,-1.68000,7.80900,0.0950000,-1.68000,7.24500,2.91500
2026-01-18T00:01:24.000Z,7.98300,-3.08600,7.27600,0.717000,-3.08600,6.52300,3.30100
2026-01-18T00:01:40.000Z,8.00700,-3.23900,7.27800,0.692000,-3.23900,6.53500,3.27900
2026-01-18T00:01:56.000Z,8.02100,-4.03900,6.73900,1.31600,-4.03900,5.80700,3.66500
2026-01-18T00:02:12.000Z,8.02500,-2.01000,7.60800,1.24300,-2.01000,6.64300,3.91000
2026-01-18T00:02:28.000Z,8.03200,-1.46800,7.85500,0.699000,-1.46800,7.07000,3.49200
2026-01-18T00:02:44.000Z,7.98100,-1.67500,7.71300,0.800000,-1.67500,6.90200,3.53500
2026-01-18T00:03:00.000Z,7.97900,-0.967000,7.88300,0.362000,-0.967000,7.21800,3.18800
2026-01-18T00:03:16.000Z,7.97600,-0.0180000,7.95200,-0.388000,-0.0180000,7.55500,2.51400
2026-01-18T00:03:32.000Z,8.01900,-1.08800,7.72000,0.681000,-1.08800,6.95100,3.42600
2026-01-18T00:03:48.000Z,7.98400,-1.59800,7.75300,0.962000,-1.59800,6.88100,3.70000
2026-01-18T00:04:04.000Z,8.03100,-0.845000,7.92400,0.958000,-0.845000,7.04200,3.75700
2026-01-18T00:04:20.000Z,8.03800,-1.50800,7.69700,1.49800,-1.50800,6.63500,4.17800
2026-01-18T00:04:36.000Z,8.01000,-2.22600,7.44100,1.90500,-2.22600,6.24900,4.46600
2026-01-18T00:04:52.000Z,7.99400,-2.26100,7.48600,1.50700,-2.26100,6.43600,4.11000
2026-01-18T00:05:08.000Z,8.01700,-2.64300,7.31600,1.80200,-2.64300,6.17000,4.32400
2026-01-18T00:05:24.000Z,8.02300,-2.82600,7.28000,1.75600,-2.82600,6.15400,4.26700
2026-01-18T00:05:40.000Z,8.01800,-2.97600,7.15000,2.05200,-2.97600,5.92600,4.49600
2026-01-18T00:05:56.000Z,8.01600,-2.73300,7.30300,1.84300,-2.73300,6.14400,4.35600
2026-01-18T00:06:12.000Z,8.01500,-2.49800,7.22500,2.38100,-2.49800,5.87700,4.82900
2026-01-18T00:06:28.000Z,8.01000,-2.76600,7.16300,2.22300,-2.76600,5.87700,4.66000
2026-01-18T00:06:44.000Z,8.11500,-2.56500,7.33600,2.23000,-2.56500,6.03600,4.72800
2026-01-18T00:07:00.000Z,8.06800,-2.07000,7.41300,2.34900,-2.07000,6.06500,4.86700
2026-01-18T00:07:16.000Z,8.03600,-2.40100,7.01300,3.08500,-2.40100,5.42700,5.40900
2026-01-18T00:07:32.000Z,8.08300,-2.56600,6.98600,3.12500,-2.56600,5.38700,5.43600
2026-01-18T00:07:48.000Z,8.07900,-3.13700,6.41600,3.72400,-3.13700,4.64000,5.78800
