data,timeEpochUTC_sec,rate_Hz,pressao_mbar,rate_corrigido_Hz
2026-01-03 14:45:00,1767451500.0,1911.0825,941.1808,1896.5379
2026-01-03 15:15:00,1767453300.0,1892.6800,940.9657,1877.5533
2026-01-03 15:45:00,1767455100.0,1893.8125,940.6763,1877.7047
2026-01-03 16:15:00,1767456900.0,1920.0433,940.4479,1902.9352
2026-01-03 16:45:00,1767458700.0,1924.3517,940.1514,1906.1944
2026-01-03 17:15:00,1767460500.0,1906.7675,939.7643,1887.4693
2026-01-03 17:45:00,1767462300.0,1879.9100,939.4966,1859.9933
2026-01-03 18:15:00,1767464100.0,1890.0740,939.1563,1868.9121
2026-01-03 18:45:00,1767465900.0,1920.5400,938.8150,1897.8783
2026-01-03 19:15:00,1767467700.0,1921.0483,938.4606,1897.1780
2026-01-03 19:45:00,1767469500.0,1919.9833,938.1810,1895.1788
2026-01-03 20:15:00,1767471300.0,1922.5675,938.1067,1897.4773
2026-01-03 20:45:00,1767473100.0,1888.4275,938.3270,1864.5171
2026-01-03 21:15:00,1767474900.0,1897.7375,938.6544,1874.8064
2026-01-03 21:45:00,1767476700.0,1906.9933,939.0094,1885.1468
2026-01-03 22:15:00,1767478500.0,1909.0617,939.3519,1888.3473
2026-01-03 22:45:00,1767480300.0,1906.4833,939.7456,1887.1250
2026-01-03 23:15:00,1767482100.0,1909.0750,939.9753,1890.4665
2026-01-03 23:45:00,1767483900.0,1911.2633,940.1523,1893.2327
2026-01-04 00:15:00,1767485700.0,1908.3867,940.3928,1891.1961
2026-01-04 00:45:00,1767487500.0,1907.3217,940.7283,1891.2750
2026-01-04 01:15:00,1767489300.0,1908.8267,940.9575,1893.5429
2026-01-04 01:45:00,1767491100.0,1905.8150,941.0822,1890.9770
2026-01-04 02:15:00,1767492900.0,1903.1517,941.3941,1889.3880
2026-01-04 02:45:00,1767494700.0,1908.5817,941.4253,1894.8842
2026-01-04 03:15:00,1767496500.0,1906.5833,941.4563,1893.0050
2026-01-04 03:45:00,1767498300.0,1905.0617,941.4672,1891.5313
2026-01-04 04:15:00,1767500100.0,1899.6750,941.4384,1886.0856
2026-01-04 04:45:00,1767501900.0,1906.6300,941.2396,1892.3182
2026-01-04 05:15:00,1767503700.0,1897.3233,941.1745,1882.8623
2026-01-04 05:45:00,1767505500.0,1898.3683,940.9488,1883.1391
2026-01-04 06:15:00,1767507300.0,1905.1950,940.9289,1889.8438
2026-01-04 06:45:00,1767509100.0,1907.7267,940.8604,1892.1234
2026-01-04 07:15:00,1767510900.0,1908.7483,940.9534,1893.4515
2026-01-04 07:45:00,1767512700.0,1903.4700,941.3266,1889.4760
2026-01-04 08:15:00,1767514500.0,1897.2733,941.6684,1884.4759
2026-01-04 08:45:00,1767516300.0,1891.3267,941.9152,1879.3985
2026-01-04 09:15:00,1767518100.0,1892.2667,942.2016,1881.2958
2026-01-04 09:45:00,1767519900.0,1895.5433,942.5566,1885.7500
